Volatility 3 Framework 2.26.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0xba03f7c66080	164	-	N/A	False	2025-11-09 05:56:12.000000 UTC	N/A	-	-	-
* 384	4	smss.exe	0xba03fc177040	2	-	N/A	False	2025-11-09 05:56:12.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 1948	4	MemCompression	0xba03fdd1c040	86	-	N/A	False	2025-11-09 05:56:14.000000 UTC	N/A	MemCompression	-	-
* 124	4	Registry	0xba03f7cd5080	4	-	N/A	False	2025-11-09 05:56:06.000000 UTC	N/A	Registry	-	-
496	488	csrss.exe	0xba03fc763140	11	-	0	False	2025-11-09 05:56:13.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
576	488	wininit.exe	0xba03fd064080	1	-	0	False	2025-11-09 05:56:13.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\wininit.exe	wininit.exe	C:\Windows\system32\wininit.exe
* 720	576	services.exe	0xba03fd0c7080	7	-	0	False	2025-11-09 05:56:13.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
** 7172	720	SearchIndexer.	0xba03ffdc72c0	16	-	0	False	2025-11-09 05:56:28.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\SearchIndexer.exe	C:\Windows\system32\SearchIndexer.exe /Embedding	C:\Windows\system32\SearchIndexer.exe
** 4104	720	svchost.exe	0xba03ffc770c0	3	-	1	False	2025-11-09 05:58:17.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup	C:\Windows\system32\svchost.exe
** 9232	720	svchost.exe	0xba03ffe4a2c0	9	-	0	False	2025-11-09 05:56:40.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc	C:\Windows\system32\svchost.exe
** 3608	720	svchost.exe	0xba0400666080	6	-	0	False	2025-11-09 06:26:35.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s wlidsvc	C:\Windows\system32\svchost.exe
** 8732	720	CodeMeter.exe	0xba03ffc16080	14	-	0	False	2025-11-09 06:20:25.000000 UTC	N/A	\Device\HarddiskVolume2\Program Files\CodeMeter\Runtime\bin\CodeMeter.exe	"C:\Program Files\CodeMeter\Runtime\bin\CodeMeter.exe"	C:\Program Files\CodeMeter\Runtime\bin\CodeMeter.exe
** 1068	720	svchost.exe	0xba03ffea3080	0	-	0	False	2025-11-09 05:59:05.000000 UTC	2025-11-09 06:00:07.000000 UTC	\Device\HarddiskVolume2\Windows\System32\svchost.exe	-	-
** 1588	720	svchost.exe	0xba03fdbc3340	3	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s nsi	C:\Windows\system32\svchost.exe
** 3636	720	svchost.exe	0xba03fe4bf340	8	-	0	False	2025-11-09 05:56:15.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc	C:\Windows\system32\svchost.exe
** 2616	720	svchost.exe	0xba03fe037340	10	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache	C:\Windows\system32\svchost.exe
** 5688	720	svchost.exe	0xba03ff131080	4	-	0	False	2025-11-09 05:56:16.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s FDResPub	C:\Windows\system32\svchost.exe
** 1600	720	svchost.exe	0xba03fde09340	6	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc	C:\Windows\System32\svchost.exe
** 2624	720	svchost.exe	0xba03fe039340	3	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	C:\Windows\System32\svchost.exe
** 6720	720	svchost.exe	0xba03ff4bf080	4	-	1	False	2025-11-09 05:56:25.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService	C:\Windows\system32\svchost.exe
** 10308	720	svchost.exe	0xba0400c1a340	7	-	0	False	2025-11-09 05:58:17.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc	C:\Windows\System32\svchost.exe
** 2632	720	svchost.exe	0xba03fe07a340	4	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p	C:\Windows\system32\svchost.exe
** 3660	720	svchost.exe	0xba03fe4c6280	11	-	0	False	2025-11-09 05:56:15.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k utcsvc -p	C:\Windows\System32\svchost.exe
** 6220	720	svchost.exe	0xba03fef9d080	7	-	0	False	2025-11-09 06:29:29.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s camsvc	C:\Windows\system32\svchost.exe
** 3668	720	svchost.exe	0xba03fe515340	15	-	0	False	2025-11-09 05:56:15.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS	C:\Windows\System32\svchost.exe
** 5716	720	msdtc.exe	0xba03ff116340	9	-	0	False	2025-11-09 05:56:17.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\msdtc.exe	C:\Windows\System32\msdtc.exe	C:\Windows\System32\msdtc.exe
** 1112	720	svchost.exe	0xba03fda18340	27	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -s TermService	C:\Windows\System32\svchost.exe
** 2136	720	svchost.exe	0xba03fde7b2c0	4	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -s CertPropSvc	C:\Windows\system32\svchost.exe
** 4188	720	svchost.exe	0xba03fe6e5340	3	-	0	False	2025-11-09 05:56:15.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s WdiServiceHost	C:\Windows\System32\svchost.exe
** 5212	720	svchost.exe	0xba03fdf5f300	5	-	0	False	2025-11-09 06:10:12.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s DsSvc	C:\Windows\System32\svchost.exe
** 3680	720	AppleMobileDev	0xba03ff825080	7	-	0	False	2025-11-09 06:21:53.000000 UTC	N/A	\Device\HarddiskVolume2\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe	"C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe"	C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe
** 3172	720	svchost.exe	0xba03fe210340	5	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc	C:\Windows\System32\svchost.exe
** 8812	720	svchost.exe	0xba03fe127080	3	-	0	False	2025-11-09 06:27:33.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s gpsvc	C:\Windows\system32\svchost.exe
** 1648	720	svchost.exe	0xba03fde0e340	2	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p	C:\Windows\system32\svchost.exe
** 2676	720	svchost.exe	0xba03f7d5e080	4	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository	C:\Windows\system32\svchost.exe
** 4728	720	CmWebAdmin.exe	0xba0403de1080	11	-	0	False	2025-11-09 06:20:21.000000 UTC	N/A	\Device\HarddiskVolume2\Program Files\CodeMeter\Runtime\bin\CmWebAdmin.exe	"C:\Program Files\CodeMeter\Runtime\bin\CmWebAdmin.exe"	C:\Program Files\CodeMeter\Runtime\bin\CmWebAdmin.exe
** 3716	720	svchost.exe	0xba03fe533340	1	-	0	False	2025-11-09 05:56:15.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s SstpSvc	C:\Windows\system32\svchost.exe
** 1672	720	svchost.exe	0xba03fdba5080	6	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager	C:\Windows\system32\svchost.exe
*** 6656	1672	sihost.exe	0xba03ff3ca300	11	-	1	False	2025-11-09 05:56:25.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\sihost.exe	sihost.exe	C:\Windows\system32\sihost.exe
** 2184	720	svchost.exe	0xba03fded2300	2	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder	C:\Windows\System32\svchost.exe
** 2192	720	spoolsv.exe	0xba03fe1b6280	7	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\spoolsv.exe	C:\Windows\System32\spoolsv.exe	C:\Windows\System32\spoolsv.exe
** 3728	720	MpDefenderCore	0xba03fe537080	9	-	0	False	2025-11-09 05:56:15.000000 UTC	N/A	\Device\HarddiskVolume2\ProgramData\Microsoft\Windows Defender\Platform\4.18.25090.3009-0\MpDefenderCoreService.exe	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.25090.3009-0\MpDefenderCoreService.exe"	C:\ProgramData\Microsoft\Windows Defender\platform\4.18.25090.3009-0\MpDefenderCoreService.exe
** 2200	720	svchost.exe	0xba03fded8340	6	-	0	False	2025-11-09 05:56:14.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache	C:\Windows\system32\svchost.exe
