Volatility 3 Framework 2.26.2

PID	Process	Args

4	System	-
124	Registry	-
384	smss.exe	\SystemRoot\System32\smss.exe
496	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
576	wininit.exe	wininit.exe
588	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
680	winlogon.exe	winlogon.exe
720	services.exe	C:\Windows\system32\services.exe
732	WerFault.exe	-
756	lsass.exe	C:\Windows\system32\lsass.exe
896	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p
916	fontdrvhost.ex	"fontdrvhost.exe"
924	fontdrvhost.ex	"fontdrvhost.exe"
1016	svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p
444	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM
460	dwm.exe	"dwm.exe"
1112	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -s TermService
1200	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
1248	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
1256	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
1336	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p
1356	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
1460	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
1520	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc
1588	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s nsi
1672	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager
1724	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
1732	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s UmRdpService
1740	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem
1756	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
1764	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s Themes
1852	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
1932	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS
1948	MemCompression	-
1600	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc
1648	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p
2136	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -s CertPropSvc
2184	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
2200	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache
2340	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm
2352	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation
2436	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2556	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s SessionEnv
2616	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache
2624	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2632	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
2676	svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository
2800	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
2856	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection
2864	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt
2936	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
2956	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s DoSvc
2192	spoolsv.exe	C:\Windows\System32\spoolsv.exe
3172	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc
3316	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s NgcSvc
3460	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s IKEEXT
3468	svchost.exe	C:\Windows\System32\svchost.exe -k NetSvcs -p -s iphlpsvc
3476	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p -s PolicyAgent
3536	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s NgcCtnrSvc
3636	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc
3660	svchost.exe	C:\Windows\System32\svchost.exe -k utcsvc -p
3668	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS
3716	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s SstpSvc
3728	MpDefenderCore	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.25090.3009-0\MpDefenderCoreService.exe"
3744	ssh-agent.exe	C:\Windows\System32\OpenSSH\ssh-agent.exe
3764	sshd.exe	C:\Windows\System32\OpenSSH\sshd.exe
3788	Sysmon64.exe	C:\Windows\Sysmon64.exe
3812	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks
3824	VGAuthService.	"C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"
3840	vm3dservice.ex	"C:\Program Files\VMware\VMware Tools\vm3dservice.exe"
3852	vmtoolsd.exe	"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"
3864	WinCollectSvc.	"C:\Program Files\IBM\WinCollect\bin\WinCollectSvc.exe"
3884	MsMpEng.exe	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.25090.3009-0\MsMpEng.exe"
3948	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s LanmanServer
4008	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s WpnService
4116	vm3dservice.ex	"C:\Program Files\VMware\VMware Tools\vm3dservice.exe" -n
4188	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s WdiServiceHost
4240	WinCollect.exe	WinCollect.exe
4320	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
4492	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs
4876	unsecapp.exe	C:\Windows\system32\wbem\unsecapp.exe -Embedding
4940	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
5024	dllhost.exe	C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}
3820	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{3EB3C877-1F16-487C-9050-104DBCD66683}
2368	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s StorSvc
5488	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s fdPHost
5500	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s NcdAutoSetup
5688	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s FDResPub
5716	msdtc.exe	C:\Windows\System32\msdtc.exe
5876	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DeviceAssociationService
5944	dasHost.exe	dashost.exe {8c2402d3-336e-42dd-8056363fd1bc9715}
6012	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV
6416	NisSrv.exe	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.25090.3009-0\NisSrv.exe"
6656	sihost.exe	sihost.exe
6644	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
