Volatility 3 Framework 2.26.2

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xba03f7cab470	TCPv4	0.0.0.0	49671	0.0.0.0	0	LISTENING	720	services.exe	2025-11-09 05:56:15.000000 UTC
0xba03f7cab470	TCPv6	::	49671	::	0	LISTENING	720	services.exe	2025-11-09 05:56:15.000000 UTC
0xba03f7cab5d0	TCPv4	0.0.0.0	49673	0.0.0.0	0	LISTENING	3476	svchost.exe	2025-11-09 05:56:16.000000 UTC
0xba03f7cab5d0	TCPv6	::	49673	::	0	LISTENING	3476	svchost.exe	2025-11-09 05:56:16.000000 UTC
0xba03f7cab9f0	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	2192	spoolsv.exe	2025-11-09 05:56:14.000000 UTC
0xba03f7cab9f0	TCPv6	::	49669	::	0	LISTENING	2192	spoolsv.exe	2025-11-09 05:56:14.000000 UTC
0xba03f7cabe10	TCPv4	0.0.0.0	49671	0.0.0.0	0	LISTENING	720	services.exe	2025-11-09 05:56:15.000000 UTC
0xba03f8dbd850	TCPv6	::1	22350	::1	50163	ESTABLISHED	8732	CodeMeter.exe	2025-11-09 06:27:31.000000 UTC
0xba03fc3229f0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	756	lsass.exe	2025-11-09 05:56:13.000000 UTC
0xba03fc3229f0	TCPv6	::	49664	::	0	LISTENING	756	lsass.exe	2025-11-09 05:56:13.000000 UTC
0xba03fc322e10	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	756	lsass.exe	2025-11-09 05:56:13.000000 UTC
0xba03fc3234f0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	1016	svchost.exe	2025-11-09 05:56:13.000000 UTC
0xba03fd1770f0	UDPv4	0.0.0.0	50933	*	0		2616	svchost.exe	2025-11-09 06:23:31.000000 UTC
0xba03fd1770f0	UDPv6	::	50933	*	0		2616	svchost.exe	2025-11-09 06:23:31.000000 UTC
0xba03fd860050	TCPv4	0.0.0.0	3389	0.0.0.0	0	LISTENING	1112	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd860050	TCPv6	::	3389	::	0	LISTENING	1112	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd860310	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2556	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd8605d0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1356	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd860730	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1460	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd860730	TCPv6	::	49667	::	0	LISTENING	1460	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd860890	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1460	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd8609f0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	1016	svchost.exe	2025-11-09 05:56:13.000000 UTC
0xba03fd8609f0	TCPv6	::	135	::	0	LISTENING	1016	svchost.exe	2025-11-09 05:56:13.000000 UTC
0xba03fd860b50	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	576	wininit.exe	2025-11-09 05:56:13.000000 UTC
0xba03fd860b50	TCPv6	::	49665	::	0	LISTENING	576	wininit.exe	2025-11-09 05:56:13.000000 UTC
0xba03fd860cb0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1356	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd860cb0	TCPv6	::	49666	::	0	LISTENING	1356	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd860e10	TCPv4	0.0.0.0	3389	0.0.0.0	0	LISTENING	1112	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd8610d0	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2556	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd8610d0	TCPv6	::	49668	::	0	LISTENING	2556	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd861230	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	2192	spoolsv.exe	2025-11-09 05:56:14.000000 UTC
0xba03fd861390	TCPv4	0.0.0.0	7680	0.0.0.0	0	LISTENING	2956	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fd861390	TCPv6	::	7680	::	0	LISTENING	2956	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fd8617b0	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2025-11-09 05:56:15.000000 UTC
0xba03fd8617b0	TCPv6	::	445	::	0	LISTENING	4	System	2025-11-09 05:56:15.000000 UTC
0xba03fd861910	TCPv4	10.26.47.155	139	0.0.0.0	0	LISTENING	4	System	2025-11-09 05:56:14.000000 UTC
0xba03fd861bd0	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	576	wininit.exe	2025-11-09 05:56:13.000000 UTC
0xba03fd861d30	TCPv4	0.0.0.0	49673	0.0.0.0	0	LISTENING	3476	svchost.exe	2025-11-09 05:56:16.000000 UTC
0xba03fdc9a490	UDPv4	10.26.47.155	137	*	0		4	System	2025-11-09 05:56:14.000000 UTC
0xba03fdc9bc00	UDPv4	0.0.0.0	3389	*	0		1112	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fdc9c560	UDPv4	10.26.47.155	138	*	0		4	System	2025-11-09 05:56:14.000000 UTC
0xba03fdc9c6f0	UDPv4	0.0.0.0	3389	*	0		1112	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fdc9c6f0	UDPv6	::	3389	*	0		1112	svchost.exe	2025-11-09 05:56:14.000000 UTC
0xba03fe066c00	UDPv4	0.0.0.0	5353	*	0		2616	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe066c00	UDPv6	::	5353	*	0		2616	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe1fbb20	TCPv4	10.26.47.155	50169	150.171.28.12	443	ESTABLISHED	5512	backgroundTask	2025-11-09 06:29:29.000000 UTC
0xba03fe3c6540	UDPv4	127.0.0.1	54275	*	0		3468	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe439460	TCPv4	10.26.47.155	50106	142.250.67.33	443	CLOSED	9760	msedge.exe	2025-11-09 06:23:36.000000 UTC
0xba03fe4e58e0	UDPv4	0.0.0.0	500	*	0		3460	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe4e6ba0	UDPv4	0.0.0.0	4500	*	0		3460	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe4e6d30	UDPv4	0.0.0.0	500	*	0		3460	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe4e6d30	UDPv6	::	500	*	0		3460	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe4e7050	UDPv4	0.0.0.0	4500	*	0		3460	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe4e7050	UDPv6	::	4500	*	0		3460	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe4e9440	UDPv4	0.0.0.0	0	*	0		3460	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe4e9da0	UDPv4	192.168.179.176	138	*	0		4	System	2025-11-09 05:56:15.000000 UTC
0xba03fe4ee0d0	UDPv4	0.0.0.0	62093	*	0		3864	WinCollectSvc.	2025-11-09 05:56:15.000000 UTC
0xba03fe4f1460	UDPv4	192.168.179.176	137	*	0		4	System	2025-11-09 05:56:15.000000 UTC
0xba03fe5738a0	TCPv4	10.26.47.155	49708	4.213.25.242	443	ESTABLISHED	4008	svchost.exe	2025-11-09 05:56:26.000000 UTC
0xba03fe7e41f0	UDPv4	0.0.0.0	0	*	0		3460	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe7e41f0	UDPv6	::	0	*	0		3460	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe7f0090	UDPv4	0.0.0.0	5353	*	0		2616	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe7f0220	UDPv4	0.0.0.0	0	*	0		2616	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe7f0220	UDPv6	::	0	*	0		2616	svchost.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe89ab50	TCPv4	10.26.47.155	50101	142.250.77.99	443	CLOSED	9760	msedge.exe	2025-11-09 06:23:36.000000 UTC
0xba03fe8f91b0	TCPv4	127.0.0.1	27015	0.0.0.0	0	LISTENING	3680	AppleMobileDev	2025-11-09 06:21:53.000000 UTC
0xba03fe8f9b50	TCPv6	::1	42050	::	0	LISTENING	10268	OneDrive.Sync.	2025-11-09 05:56:48.000000 UTC
0xba03fe8fa650	TCPv4	0.0.0.0	22	0.0.0.0	0	LISTENING	3764	sshd.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe8fad30	TCPv4	192.168.179.176	139	0.0.0.0	0	LISTENING	4	System	2025-11-09 05:56:15.000000 UTC
0xba03fe8fae90	TCPv4	0.0.0.0	22	0.0.0.0	0	LISTENING	3764	sshd.exe	2025-11-09 05:56:15.000000 UTC
0xba03fe8fae90	TCPv6	::	22	::	0	LISTENING	3764	sshd.exe	2025-11-09 05:56:15.000000 UTC
0xba03fea3a160	UDPv4	0.0.0.0	3702	*	0		5688	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03fea3a160	UDPv6	::	3702	*	0		5688	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03fea3d680	UDPv4	0.0.0.0	59365	*	0		5688	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03fea3d680	UDPv6	::	59365	*	0		5688	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03fea3f2a0	UDPv4	0.0.0.0	59364	*	0		5688	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03feafc050	TCPv4	0.0.0.0	5357	0.0.0.0	0	LISTENING	4	System	2025-11-09 05:56:17.000000 UTC
0xba03feafc050	TCPv6	::	5357	::	0	LISTENING	4	System	2025-11-09 05:56:17.000000 UTC
0xba03feafc1b0	TCPv4	0.0.0.0	5040	0.0.0.0	0	LISTENING	5348	svchost.exe	2025-11-09 05:56:26.000000 UTC
0xba03feafc5d0	TCPv4	127.0.0.1	22350	0.0.0.0	0	LISTENING	8732	CodeMeter.exe	2025-11-09 06:20:34.000000 UTC
0xba03feafc730	TCPv4	127.0.0.1	5354	0.0.0.0	0	LISTENING	1704	mDNSResponder.	2025-11-09 06:22:01.000000 UTC
0xba03feafc9f0	TCPv4	127.0.0.1	22350	0.0.0.0	0	LISTENING	8732	CodeMeter.exe	2025-11-09 06:20:34.000000 UTC
0xba03feafccb0	TCPv6	::1	22350	::	0	LISTENING	8732	CodeMeter.exe	2025-11-09 06:20:34.000000 UTC
0xba03feafde90	TCPv4	0.0.0.0	50048	0.0.0.0	0	LISTENING	4728	CmWebAdmin.exe	2025-11-09 06:20:21.000000 UTC
0xba03feafde90	TCPv6	::	50048	::	0	LISTENING	4728	CmWebAdmin.exe	2025-11-09 06:20:21.000000 UTC
0xba03fef8f870	TCPv6	::1	22350	::1	50063	ESTABLISHED	8732	CodeMeter.exe	2025-11-09 06:22:43.000000 UTC
0xba03fefbf840	UDPv4	0.0.0.0	0	*	0		3476	svchost.exe	2025-11-09 05:56:16.000000 UTC
0xba03fefbf840	UDPv6	::	0	*	0		3476	svchost.exe	2025-11-09 05:56:16.000000 UTC
0xba03fefbf9d0	UDPv4	0.0.0.0	0	*	0		3476	svchost.exe	2025-11-09 05:56:16.000000 UTC
0xba03ff00c8a0	UDPv4	0.0.0.0	3702	*	0		5688	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff00f2d0	UDPv4	0.0.0.0	3702	*	0		5688	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff00f2d0	UDPv6	::	3702	*	0		5688	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff011080	UDPv4	0.0.0.0	3702	*	0		5688	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff0153b0	UDPv4	127.0.0.1	53689	*	0		3680	AppleMobileDev	2025-11-09 06:21:53.000000 UTC
0xba03ff0161c0	UDPv4	127.0.0.1	53688	*	0		3680	AppleMobileDev	2025-11-09 06:21:53.000000 UTC
0xba03ff01dd30	UDPv6	fe80::880:dda7:57d8:7d38	53808	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff01e1e0	UDPv6	fe80::6c97:a192:9b85:3520	53809	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff01eb40	UDPv4	10.26.47.155	53812	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff01ecd0	UDPv4	192.168.179.176	53811	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff01f180	UDPv4	127.0.0.1	53813	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff01f4a0	UDPv6	fe80::880:dda7:57d8:7d38	1900	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff01f950	UDPv6	::1	1900	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff01fae0	UDPv4	10.26.47.155	1900	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff01fc70	UDPv4	127.0.0.1	1900	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff020120	UDPv6	::1	53810	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff0210c0	UDPv4	192.168.179.176	1900	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff021250	UDPv6	fe80::6c97:a192:9b85:3520	1900	*	0		6012	svchost.exe	2025-11-09 05:56:17.000000 UTC
0xba03ff023320	UDPv4	0.0.0.0	3702	*	0		5944	dasHost.exe	2025-11-09 05:56:18.000000 UTC
0xba03ff0234b0	UDPv4	0.0.0.0	3702	*	0		5944	dasHost.exe	2025-11-09 05:56:18.000000 UTC
0xba03ff0234b0	UDPv6	::	3702	*	0		5944	dasHost.exe	2025-11-09 05:56:18.000000 UTC
0xba03ff0245e0	UDPv4	0.0.0.0	3702	*	0		5944	dasHost.exe	2025-11-09 05:56:18.000000 UTC
0xba03ff0253f0	UDPv4	0.0.0.0	3702	*	0		5944	dasHost.exe	2025-11-09 05:56:18.000000 UTC
0xba03ff0253f0	UDPv6	::	3702	*	0		5944	dasHost.exe	2025-11-09 05:56:18.000000 UTC
0xba03ff025a30	UDPv4	0.0.0.0	53815	*	0		5944	dasHost.exe	2025-11-09 05:56:18.000000 UTC
0xba03ff025a30	UDPv6	::	53815	*	0		5944	dasHost.exe	2025-11-09 05:56:18.000000 UTC
0xba03ff026840	UDPv4	0.0.0.0	53296	*	0		1704	mDNSResponder.	2025-11-09 06:22:00.000000 UTC
0xba03ff0269d0	UDPv4	0.0.0.0	53814	*	0		5944	dasHost.exe	2025-11-09 05:56:18.000000 UTC
0xba03ff028dc0	UDPv4	0.0.0.0	53297	*	0		1704	mDNSResponder.	2025-11-09 06:22:00.000000 UTC
0xba03ff028dc0	UDPv6	::	53297	*	0		1704	mDNSResponder.	2025-11-09 06:22:00.000000 UTC
0xba03ff029270	UDPv4	0.0.0.0	0	*	0		1704	mDNSResponder.	2025-11-09 06:22:01.000000 UTC
0xba03ff02b980	UDPv4	10.26.47.155	5353	*	0		1704	mDNSResponder.	2025-11-09 06:22:01.000000 UTC
0xba03ff02d280	UDPv4	192.168.179.176	5353	*	0		1704	mDNSResponder.	2025-11-09 06:22:01.000000 UTC
0xba03ff02e090	UDPv6	::1	5353	*	0		1704	mDNSResponder.	2025-11-09 06:22:01.000000 UTC
0xba03ff0404c0	UDPv4	0.0.0.0	5050	*	0		5348	svchost.exe	2025-11-09 05:56:26.000000 UTC
0xba03ff095a70	UDPv4	0.0.0.0	56633	*	0		4240	WinCollect.exe	2025-11-09 05:56:16.000000 UTC
0xba03ff13ba20	TCPv4	10.26.47.155	49935	150.171.28.12	443	CLOSED	5472	SearchApp.exe	2025-11-09 05:59:53.000000 UTC
0xba03ff289b00	TCPv4	10.26.47.155	50165	23.193.114.57	443	ESTABLISHED	9760	msedge.exe	2025-11-09 06:28:04.000000 UTC
0xba03ff2b38a0	TCPv4	10.26.47.155	50167	135.171.2.152	443	ESTABLISHED	6644	svchost.exe	2025-11-09 06:28:48.000000 UTC
0xba03ff2d5970	TCPv4	10.26.47.155	49722	52.98.88.242	443	ESTABLISHED	8188	SearchApp.exe	2025-11-09 05:56:30.000000 UTC
0xba03ff3efb60	TCPv6	::1	22350	::1	50050	ESTABLISHED	8732	CodeMeter.exe	2025-11-09 06:20:36.000000 UTC
0xba03ff5ae780	TCPv6	::1	50163	::1	22350	ESTABLISHED	2920	FTK Imager.exe	2025-11-09 06:27:31.000000 UTC
0xba03ff5deb20	TCPv4	10.26.47.155	50067	49.44.197.226	443	ESTABLISHED	9760	msedge.exe	2025-11-09 06:23:07.000000 UTC
0xba03ffb96010	TCPv4	10.26.47.155	50151	162.159.140.229	443	ESTABLISHED	9760	msedge.exe	2025-11-09 06:25:32.000000 UTC
0xba03ffc32af0	TCPv4	10.26.47.155	50103	142.250.207.74	443	CLOSED	9760	msedge.exe	2025-11-09 06:23:36.000000 UTC
0xba03ffd03010	TCPv4	10.26.47.155	50081	199.232.20.157	443	ESTABLISHED	9760	msedge.exe	2025-11-09 06:23:35.000000 UTC
0xba03ffec78e0	TCPv4	10.26.47.155	50140	52.139.252.32	443	CLOSED	9760	msedge.exe	2025-11-09 06:24:46.000000 UTC
0xba03fff02050	TCPv6	::1	50050	::1	22350	ESTABLISHED	4128	CodeMeterCC.ex	2025-11-09 06:20:36.000000 UTC
0xba0400028010	TCPv4	10.26.47.155	50145	23.212.0.11	443	CLOSE_WAIT	8188	SearchApp.exe	2025-11-09 06:25:26.000000 UTC
0xba0400261a20	TCPv4	10.26.47.155	50168	192.168.179.10	514	CLOSED	4240	WinCollect.exe	2025-11-09 06:29:13.000000 UTC
0xba0400326a20	TCPv4	10.26.47.155	50128	49.44.234.83	443	CLOSED	9760	msedge.exe	2025-11-09 06:23:39.000000 UTC
0xba040037d010	TCPv4	10.26.47.155	49886	20.255.46.225	443	CLOSE_WAIT	7380	SystemSettings	2025-11-09 05:58:02.000000 UTC
0xba04004df5e0	TCPv4	10.26.47.155	50129	142.250.77.129	443	CLOSED	9760	msedge.exe	2025-11-09 06:23:39.000000 UTC
